008652,长城中债1-3年政金债A,CCZZ13NZJZA,2022-04-15,1.5121,1.5121,0.05,0.02,48.55,48.41,48.81,49.59,,,48.48,51.21,2020-08-11,1,51.21,0.40%,0.04%,1,0.04%,1,
160216,国泰大宗商品,GTDZSP,2022-04-14,0.4710,0.4710,0.86,6.08,10.56,32.68,33.81,70.04,118.06,-8.01,44.48,-52.90,2012-05-03,1,,1.50%,0.15%,1,0.15%,1,7.05
162411,华宝标普油气上游股票人民币A,HBBPYQSYGPRMBA,2022-04-15,0.6801,0.6801,0.53,2.27,20.03,27.74,33.64,74.83,219.45,26.88,46.70,-31.99,2011-09-29,1,-31.99,1.50%,0.15%,1,0.15%,1,9.17
007844,华宝标普油气上游股票人民币C,HBBPYQSYGPRMBC,2022-04-15,0.6737,0.6737,0.52,2.28,20.02,27.62,33.35,74.04,216.74,,46.52,70.30,2020-01-15,1,70.298281,,0.00%,,,,
162719,广发道琼斯石油指数人民币A,GFDQSSYZSRMBA,2022-04-14,1.7926,1.7926,-0.09,2.70,13.22,20.40,33.15,73.20,194.06,76.82,39.60,79.26,2017-02-28,1,,1.20%,0.12%,1,0.12%,1,82.17
519212,万家宏观择时多策略混合,WJHGZSDCLHH,2022-04-15,1.8154,1.8154,-1.18,4.09,33.22,38.99,32.95,28.61,41.14,39.06,40.81,81.54,2017-03-30,1,81.54,1.50%,0.15%,1,0.15%,1,77.56
004243,广发道琼斯石油指数人民币C,GFDQSSYZSRMBC,2022-04-14,1.7866,1.7866,-0.10,2.69,13.15,20.27,32.81,71.97,190.03,74.80,39.41,78.66,2017-02-28,1,,,0.00%,,,,81.38
163208,诺安油气能源,NAYQNY,2022-04-14,0.9590,0.9590,-0.10,2.79,10.23,21.70,32.64,55.68,110.31,11.51,38.99,-4.10,2011-09-27,1,,1.50%,0.15%,1,0.15%,1,6.56
165513,信诚全球商品主题,XCQQSPZT,2022-04-14,0.5950,0.5950,0.51,5.12,9.17,30.20,29.91,57.41,109.51,41.33,40.33,-40.50,2011-12-20,1,,1.60%,0.16%,1,0.16%,1,27.96
519191,万家新利灵活配置混合,WJXLLHPZHH,2022-04-15,1.4617,1.8243,-1.04,3.47,31.20,35.52,29.47,31.71,45.18,30.24,37.09,104.50,2014-01-24,1,104.500553,0.60%,0.06%,1,0.06%,1,44.56
519185,万家精选混合,WJJXHH,2022-04-15,1.4471,2.6934,-1.14,3.90,31.35,33.53,29.38,22.07,37.96,22.47,35.03,237.68,2009-05-18,1,237.682998,1.50%,0.15%,1,0.15%,1,34.17
007937,华夏饲料豆粕期货ETF联接A,HXSLDPQHETFLJA,2022-04-15,1.4797,1.4797,0.05,1.33,-3.65,24.06,27.84,18.69,44.21,,24.41,47.97,2020-01-13,1,47.97,0.60%,0.06%,1,0.06%,1,
161815,银华抗通胀主题,YHKTZZT,2022-04-14,0.7580,0.7580,0.53,5.28,7.52,24.67,26.54,47.18,93.86,58.58,31.37,-24.20,2010-12-06,1,,1.60%,0.16%,1,0.16%,1,62.66
004685,金元顺安元启灵活配置混合,JYSAYQLHPZHH,2022-04-15,2.7997,2.7997,-1.64,-1.65,6.88,5.62,22.90,42.15,115.83,155.01,7.96,179.97,2017-11-14,1,179.97,1.50%,0.15%,1,0.15%,1,
378546,上投摩根全球天然资源混合,STMGQQTRZYHH,2022-04-14,0.9868,0.9868,-0.09,2.48,11.39,13.96,20.74,26.66,77.80,34.44,23.74,-1.32,2012-03-26,1,,1.60%,0.16%,1,0.16%,1,47.72
005851,财通新视野灵活配置混合A,CTXSYLHPZHHA,2022-04-15,1.9344,1.9344,-0.74,-1.22,13.47,6.60,18.93,11.72,63.14,78.52,5.81,93.44,2018-06-25,1,93.44,1.50%,0.15%,1,0.15%,1,
