700003,平安策略先锋混合,PACLXFHH,2021-12-07,6.5130,6.6130,-1.56,-5.07,2.81,6.51,60.81,98.08,204.06,378.90,74.47,612.63,2012-05-29,1,107.8915,1.50%,0.15%,1,0.15%,1,278.22
006736,国投瑞银先进制造混合,GTRYXJZZHH,2021-12-07,4.5245,4.5245,-3.63,-7.49,5.85,-13.05,55.71,89.21,258.63,,63.53,352.45,2019-01-25,1,107.5819,1.50%,0.15%,1,0.15%,1,
004390,平安转型创新混合A,PAZXCXHHA,2021-12-07,3.7181,3.8081,-1.30,-4.99,2.84,6.73,60.42,97.61,206.70,340.38,73.82,304.81,2017-04-14,1,106.7532,1.50%,0.15%,1,0.15%,1,
001822,华商智能生活灵活配置混合,HSZNSHLHPZHH,2021-12-07,3.1410,3.1410,-1.84,-5.85,1.82,11.15,64.54,94.97,207.94,298.10,71.08,214.10,2015-11-13,1,105.7935,1.50%,0.15%,1,0.15%,1,237.74
004391,平安转型创新混合C,PAZXCXHHC,2021-12-07,3.6160,3.7010,-1.30,-5,2.77,6.53,59.79,96.05,201.84,333.26,72.54,291.98,2017-04-14,1,105.1265,,0.00%,,,,
001933,华商新兴活力混合,HSXXHLHH,2021-12-07,3.0020,3.0020,-1.83,-5.92,1.76,9.80,66.78,94.56,199,263.88,71.25,200.20,2016-02-25,1,105.1248,1.50%,0.15%,1,0.15%,1,188.38
002258,大成国企改革灵活配置混合,DCGQGGLHPZHH,2021-12-07,3.5130,3.5130,-1.38,-2.82,2.81,-0.11,48.17,97.80,202.06,327.89,80.43,251.30,2017-09-21,1,103.8155,1.50%,0.15%,1,0.15%,1,
001951,金鹰改革红利混合,JYGGHLHH,2021-12-07,3.4430,3.4430,-1.46,-3.85,-1.85,-5.23,23.63,88.04,222.98,289.04,56.50,244.30,2015-12-02,1,102.7211,1.50%,0.15%,1,0.15%,1,217.33
004925,长信低碳环保行业量化股票A,CXDTHBHYLHGPA,2021-12-07,2.8822,2.8822,-3.06,-5.78,-2.69,-2.65,37.82,83.37,229.13,276.07,53.47,188.22,2017-11-09,1,99.6987,1.50%,0.15%,1,0.15%,1,
002083,新华鑫动力灵活配置混合A,XHXDLLHPZHHA,2021-12-07,3.4453,3.4453,-2.63,-6.89,-2.95,-1.27,32.17,82.29,240.44,374.56,48.18,244.53,2016-06-08,1,99.6822,1.00%,0.10%,1,0.10%,1,243.16
002084,新华鑫动力灵活配置混合C,XHXDLLHPZHHC,2021-12-07,3.4243,3.4243,-2.63,-6.89,-2.95,-1.29,32.11,82.05,239.71,373.62,48.05,242.43,2016-06-08,1,99.4493,0.00%,0.00%,,0.00%,0,241.75
398021,中海能源策略混合,ZHNYCLHH,2021-12-07,1.6945,2.0045,-0.68,-5.49,-6.11,5.04,56.25,90.20,157.29,198.07,70.46,147.49,2007-03-13,1,99.3889,1.50%,0.15%,1,0.15%,1,141.80
167001,平安鼎泰混合(LOF),PADTHHLOF,2021-12-07,2.1626,2.1626,-2.96,-6.30,-2.68,-11.58,50.86,83.88,165.64,252.10,60.80,116.26,2016-07-21,1,98.5589,1.50%,0.15%,1,0.15%,1,114.99
004784,招商稳健优选股票,ZSWJYXGP,2021-12-07,3.6006,3.6006,-2.35,-5.34,-2.05,7.82,40.54,83.93,216.87,392.96,65.20,260.06,2017-09-20,1,97.1646,1.50%,0.15%,1,0.15%,1,
005412,金信民长混合A,JXMCHHA,2021-12-07,2.1515,2.1515,-2.90,-9.07,-5.14,0.80,19.51,79.37,,,51.91,115.15,2020-05-21,1,96.2018,0.80%,0.08%,1,0.08%,1,
501057,汇添富中证新能源汽车A,HTFZZXNYQCA,2021-12-07,3.2493,3.2493,-2.78,-5.61,-1.27,1.18,35.08,79.79,250.33,297.37,52.05,224.93,2018-05-23,1,96.0230,1.20%,0.12%,1,0.12%,1,
005413,金信民长混合C,JXMCHHC,2021-12-07,2.0443,2.0443,-2.89,-9.07,-5.15,0.78,19.45,79.20,,,51.79,104.43,2020-05-21,1,96.0152,,0.00%,,,,
501058,汇添富中证新能源汽车C,HTFZZXNYQCC,2021-12-07,3.2170,3.2170,-2.78,-5.61,-1.29,1.12,34.91,79.34,248.61,294.39,51.70,221.70,2018-05-23,1,95.5396,,0.00%,,,,
002943,广发多因子混合,GFDYZHH,2021-12-07,3.6763,3.9166,0.04,1.20,2.98,-0.39,22.47,93.43,212.11,333.73,81.43,316.29,2016-12-30,1,94.7807,1.50%,0.15%,1,0.15%,1,
167002,平安鼎越混合(LOF),PADYHHLOF,2021-12-07,2.9984,2.9984,-3.15,-6.76,-1.91,-10.80,47.76,79.70,162.53,268.17,57.32,199.84,2016-09-20,1,94.7781,1.50%,0.15%,1,0.15%,1,200.47
001156,申万菱信新能源汽车混合,SWLXXNYQCHH,2021-12-07,2.9170,3.5070,-2.15,-4.98,-0.68,0.41,35.61,80.42,236.57,341.46,46.42,252.73,2015-05-07,1,92.7254,1.50%,0.15%,1,0.15%,1,282.57
001606,农银工业4.0混合,NYGY40HH,2021-12-07,5.1673,5.1673,-2.13,-3.21,-0.30,4.68,39.97,79.77,307.61,431.23,47.84,416.73,2015-08-13,1,92.5049,1.50%,0.15%,1,0.15%,1,387.99
008640,方正富邦科技创新A,FZFBKJCXA,2021-12-07,2.5407,2.5407,-2.50,-5.71,-1.86,-1.57,35.21,77,,,46.42,154.07,2020-01-21,1,92.1190,1.50%,0.15%,1,0.15%,1,
398051,中海环保新能源混合,ZHHBXNYHH,2021-12-07,3.0020,3.1930,-1.83,-4.55,-3.66,0.38,42.94,81.03,246.92,291.43,52.51,223.33,2010-12-09,1,91.9740,1.50%,0.15%,1,0.15%,1,247.66
005977,中信保诚至兴混合A,ZXBCZXHHA,2021-12-07,2.8930,2.8930,-2.46,-3.74,1.21,1.11,43.12,79.61,176.90,186.86,55.24,189.30,2018-06-27,1,91.9642,1.50%,0.15%,1,0.15%,1,
008641,方正富邦科技创新C,FZFBKJCXC,2021-12-07,2.5275,2.5275,-2.50,-5.71,-1.88,-1.65,35.01,76.46,,,46.01,152.75,2020-01-21,1,91.5343,,0.00%,,,,
540008,汇丰晋信低碳先锋股票A,HFJXDTXFGPA,2021-12-07,4.5228,4.6228,-2.66,-3.19,2.39,-2.37,26.73,75.44,287.66,350.39,43.58,393.21,2010-06-08,1,91.2072,1.50%,0.15%,1,0.15%,1,170.62
005037,银华新能源新材料A,YHXNYXCLA,2021-12-07,2.3693,2.3693,-1.64,-5.33,-1.06,-1.70,37.26,78.73,206.47,240.61,52.16,136.91,2017-09-15,1,90.8711,1.50%,0.15%,1,0.15%,1,
090018,大成新锐产业混合,DCXRCYHH,2021-12-07,6.40,6.90,-1.08,-2.13,2.32,-0.87,34.91,87.19,246.51,351.02,77.38,781.95,2012-03-20,1,90.4790,1.50%,0.15%,1,0.15%,1,267.60
005978,中信保诚至兴混合C,ZXBCZXHHC,2021-12-07,2.8107,2.8107,-2.46,-3.76,1.14,0.92,42.56,78.15,172.46,179.70,54.06,181.07,2018-06-27,1,90.4180,,0.00%,,,,
005038,银华新能源新材料C,YHXNYXCLC,2021-12-07,2.3266,2.3266,-1.64,-5.34,-1.09,-1.79,36.99,78.02,203.97,236.31,51.61,132.64,2017-09-15,1,90.1287,,0.00%,,,,
006154,华安制造先锋混合A,HAZZXFHHA,2021-12-07,4.4330,4.4330,-2.61,-5.07,5.60,-0.69,52.15,77.04,172.83,,65.65,343.30,2018-12-25,1,90.0218,1.50%,0.15%,1,0.15%,1,
610006,信达澳银产业升级混合,XDAYCYSJHH,2021-12-07,3.5610,4.0310,-3.18,-6.51,3.94,-7.98,41.93,74.73,167.34,284.14,52.44,408.95,2011-06-13,1,89.7693,1.50%,0.15%,1,0.15%,1,150.07
006233,万家汽车新趋势混合A,WJQCXQSHHA,2021-12-07,3.0809,3.0809,-3.66,-6.49,7.78,-1.55,32.38,75.06,205.43,,54.59,208.09,2019-10-23,1,89.4612,1.50%,0.15%,1,0.15%,1,
000336,农银研究精选混合,NYYJJXHH,2021-12-07,5.4731,5.4731,-2.19,-3.45,-0.56,4.23,38.19,77.73,305.35,448.90,49.14,447.31,2013-11-05,1,89.3787,1.50%,0.15%,1,0.15%,1,269.13
005634,汇安行业龙头混合,HAHYLTHH,2021-12-07,2.6331,2.6331,-1.76,-5.05,2.50,1.98,46.36,79.46,166.13,,56.59,163.31,2019-08-28,1,89.3731,1.50%,0.15%,1,0.15%,1,
006250,上投摩根动力精选混合A,STMGDLJXHHA,2021-12-07,3.7105,3.7105,-3.20,-6.44,-1.41,-1.12,35.76,72.66,226.71,,45.62,271.05,2019-01-29,1,89.2843,1.50%,0.15%,1,0.15%,1,
